Tue Nov 15 20:28:46 2022    output.dat

         300715 function calls (298357 primitive calls) in 95.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     27/8    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:493(_parse)
       62    0.001    0.000    0.012    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\patches.py:747(get_patch_transform)
      3/1    0.001    0.000   95.256   95.256 c:\Users\dhruv\Desktop\ATM--main\atm.py:146(menu)
       42    0.001    0.000    0.001    0.000 {built-in method zlib.crc32}
       41    0.001    0.000    0.020    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1416(__init__)
      812    0.001    0.000    0.011    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\ntpath.py:537(abspath)
       34    0.001    0.000    0.006    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:722(draw)
      787    0.001    0.000    0.025    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\genericpath.py:16(exists)
       47    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1791(__eq__)
      258    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:2351(__init__)
       36    0.001    0.000    0.024    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\text.py:671(draw)
      320    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:1730(<dictcomp>)
    66/52    0.001    0.000    0.194    0.004 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1916(__call__)
     2580    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:823(<genexpr>)
      218    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:710(__hash__)
       13    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.001    0.001    0.001    0.001 {built-in method gc.collect}
     1649    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      267    0.001    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:2508(composite_transform_factory)
       98    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:658(__init__)
        5    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
        2    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_internal.py:304(data)
       50    0.001    0.000    0.035    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\text.py:290(_get_layout)
     1640    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1446(debug)
        2    0.001    0.000    0.001    0.000 {built-in method nt.get_terminal_size}
